"weeks","count"
1,1073
2,742
3,529
4,390
5,481
6,380
7,421
8,339
9,429
10,381
11,412
12,362
13,478
14,388
15,458
16,437
17,499
18,420
19,455
20,439
21,441
22,428
23,479
24,407
25,468
26,411
27,500
28,388
29,412
30,360
31,398
32,349
33,384
34,342
35,362
36,339
37,322
38,284
39,317
40,285
41,301
42,263
43,272
44,231
45,227
46,230
47,216
48,198
49,193
50,174
51,175
52,145
53,187
54,131
55,175
56,138
57,144
58,131
59,148
60,124
61,128
62,91
63,132
64,106
65,102
66,91
67,96
68,93
69,99
70,62
71,102
72,71
73,84
74,57
75,76
76,67
77,67
78,57
79,68
80,68
81,63
82,52
83,69
84,47
85,53
86,54
87,42
88,37
89,43
90,47
91,38
92,48
93,59
94,43
95,52
96,31
97,31
98,34
99,36
100,35
101,38
102,28
103,32
104,29
105,35
106,31
107,36
108,20
109,35
110,19
111,36
112,20
113,31
114,27
115,16
116,17
117,16
118,25
119,25
120,30
121,18
122,23
123,26
124,18
125,17
126,18
127,21
128,20
129,16
130,19
131,25
132,11
133,10
134,14
135,13
136,10
137,17
138,11
139,14
140,11
141,23
142,13
143,16
144,13
145,19
146,26
147,22
148,19
149,27
150,14
151,22
152,15
153,16
154,16
155,20
156,11
157,20
158,12
159,13
160,23
161,12
162,7
163,14
164,9
165,9
166,11
167,11
168,7
169,11
170,9
171,9
172,9
173,8
174,10
175,10
176,6
177,13
178,5
179,12
180,3
181,16
182,5
183,9
184,10
185,5
186,14
187,5
188,11
189,7
190,6
191,4
192,5
193,10
194,5
195,8
196,3
197,8
198,8
199,9
200,5
201,4
202,8
203,6
204,6
205,3
206,4
207,5
208,7
209,5
210,6
211,7
212,5
213,3
214,2
215,2
216,1
217,4
218,6
219,6
220,6
221,7
222,2
223,6
224,4
225,5
226,7
227,3
228,1
229,2
230,3
231,6
232,4
233,3
234,3
235,5
236,5
237,2
238,4
239,4
240,2
241,4
242,2
243,2
244,1
245,4
246,2
247,3
248,2
249,1
250,1
251,2
252,1
253,1
254,2
255,3
256,5
257,2
258,2
259,3
260,4
261,3
262,2
263,2
264,4
265,1
266,3
267,1
268,2
269,2
270,2
271,2
272,3
273,2
274,1
275,2
276,3
277,2
278,1
279,3
280,2
281,1
282,1
283,2
284,2
285,2
286,1
287,2
288,1
289,2
290,4
291,1
292,2
293,4
294,1
295,2
296,2
297,2
298,1
299,2
300,3
301,1
302,1
303,2
304,1
305,1
306,3
307,1
308,2
309,1
310,2
311,1
312,1
313,1
314,1
315,1
316,2
317,1
318,2
319,1
320,1
321,1
322,1
323,1
