"duration_month","count"
1,890
2,1807
3,1659
4,1643
5,1831
6,1759
7,1829
8,1764
9,1570
10,1365
11,1212
12,1009
13,813
14,705
15,604
16,521
17,430
18,391
19,346
20,269
21,268
22,217
23,202
24,182
25,170
26,144
27,130
28,109
29,128
30,102
31,105
32,96
33,66
34,59
35,56
36,52
37,106
38,91
39,65
40,62
41,46
42,46
43,29
44,46
45,34
46,34
47,32
48,31
49,20
50,25
51,28
52,24
53,21
54,22
55,17
56,19
57,17
58,21
59,18
60,13
61,12
62,9
63,2
64,5
65,17
66,12
67,5
68,6
69,4
70,8
71,5
72,7
73,10
74,7
75,7
76,3
77,5
79,1
80,2
81,6
82,4
83,3
84,4
85,4
88,2
89,3
91,1
92,2
96,1
99,1
100,1
102,1
119,1
